id,category,text
741234,stiri-auto,"Grație unei colaborări cu Centrul auto GEELY al DAAC Hermes, Lana vă dezvăluie tot ce trebuie să știți despre acest automobil modern. Cu un motor puternic și o sumedenie de sisteme de asistență pentru șofer, COOLRAY se remarcă prin confort și design elegant. Lana ne împărtășește impresiile sale, subliniind cum fiecare detaliu și fiecare inovație fac din COOLRAY alegerea perfectă pentru iubitorii de tehnologie și stil. Acesta este doar începutul unei călătorii prin lumea GEELY alături de Lana. Rămîneți cu noi pentru mai multe recenzii din gama de modele GEELY, care continuă să ne încînte prin inovație, stil și tehnologie.  "
742681,sport," Astfel, FC Chișinău a învins formația din capitala nordului, FC Belceanka, cu scorul de 1-0 și va întîlni Agarista-CSF Anenii Noi 2020 în semifinală, anunță Federația Moldovenească de Fotbal (FMF). Potrivit FMF, formația din Chișinău s-a impus și în meciul tur, în fața echipei FC Belceanka, cu scorul de 2-1. Rezultatul manșei retur, 1/4 de finală: 17 aprilie. Ora 16:00. Stadionul LT „Petru Zadnipru”, Chișinău FC Chișinău - FC Belceanka 1-0 (Doina Ciobanu, 23) Astfel, perechile din semifinale, care vor lupta pentru trofeul competiției sunt: CS Noroc Nimoreni - Real Succes ȘS11 Pudra Chișinău; Agarista CSF Anenii Noi 2020 - FC Chișinău. Meciurile semifinale vor avea loc pe 24 aprilie (tur) și 1 mai (retur). Ora partidelor va fi anunțată ulterior, conform regulamentului Cupei Moldovei la Fotbal Feminin, ediția 2023/24. Programul meciurilor. "
742651,societate, 19.04.2024 Pentru informații suplimentare contactați Serviciul Suport Clienți al companiei la telefonul 022-43-11-11. 
742671,economie," Este vorba de un volum de 12.800 MWh sau 20 milioane metri cubi (estimativ) pentru luna mai 2024, conform datelor publicate de Moldovagaz pe platforma de tranzacţionare, scrie mold-street.com. Livrările ar urma să fie proporțional numărului de zile, a cîte 6.864,5 MWh/zi sau 645.161 metri cubi pe zi (estimativ) cu limita de toleranță ± 20% la cantitatea zilnică. Şedinţa de tranzacţionare se va desfăşura pe ringul simplu şi competitiv, în data de 23 aprilie 2024. Potrivit informaţiilor de pe platformă, preţul de contract ""va fi calculat ca prețul cel mai mic obținut în urma ședinței de tranzacționare, în Euro/MWh, fără TVA, acesta va rămîne ferm şi neprevizuibil pe toată perioada de derulare a contractului"". Este indicată şi formula de calculare, condiţiile şi termenele de livrare. Conform Contractului și Caietului de Sarcini este necesară şi o garanţie de 2% din prețul total calculat la 17.04.2024 - 139.555 Euro plătibili în lei moldoveneşti la cursul Băncii Naţionale a Moldovei din ziua plății.  Amintim că potrivit Dispoziției Comisiei pentru Situaţii Excepţionale nr.97 din 27.12.2023, în perioada ianuarie – aprilie 2024 compania Energocom (100% capital de stat) vinde gaze natur ale către Moldovagaz la preț de 550 euro pentru o mie de metri cubi. Totuşi în urma unei licitații din 4 aprilie, Agenția Proprietății Publice, în calitate de acționar unic, și Consiliul SA Energocom au agreat, pentru luna aprilie, scăderea prețului respectiv la 450 euro pentru o mie de metri cubi. Altfel spus, preţul mediu de vînzare a scăzut în aprilie cu 100 de euro pentru o mie de metri cubi. Mai adăugăm că platforma Bursei Romîne de Mărfuri la Chișinău a devenit operaţională la începutul lunii, iar săptămîna trecută a avut loc prima tranzacție de gaze, procurate de către CET Nord de la Natural. Din luna mai, toți marii consumatori, inclusiv Moldovagaz, sînt asteptați pe bursă, iar de la 1 ianuarie 2025, toate întreprinderile mari vor fi obligate să iasă in piața liberă, la Bursă sau prin contracte bilaterale. "
742663,capitala," În cadrul vizitei, edilul a discutat cu reprezentanții administrației locale despre proiectele realizate în comun, necesitățile și obiectivele investiționale, care pot să fie implementate împreună, în cel mai scurt timp. De asemenea, a mai adăugat edilul, la solicitarea administrației locale și a locuitorilor din orașul Cricova, împreună cu responsabilii întreprinderilor municipale, privind lansarea unei noi rute de transport public municipal din Chișinău spre Cricova, prin sectorul Râșcani. În ultimii ani, Primăria municipiului Chișinău și Primăria orașului Cricova au implementat mai multe proiecte pentru locuitorii suburbiei, printre care: construcția rețelelor de canalizare, a Stației de epurare, extinderea iluminatului public stradal, îmbunătățirea infrastructurii educaționale, reparația capitală a Centrului de Sănătate. Astfel, cifra investițiilor municipale directe desfășurate la Cricova a ajuns la aproape 17 milioane de lei. "
742660,societate," Tehnica militară urmează să se întoarcă în centrele de instruire, la locurile de dislocare permanentă, transmite Noi.md. „JCET-2024” se desfășoară în conformitate cu planul de instruire al Armatei Naționale pentru anul 2024. Militarii din Batalionul cu Destinație Specială „Fulger” participă la acest exercițiu începînd cu anul 2009. Amintim că exercițiul multinațional „JCET-2024’’ a avut loc în perioada 1-19 aprilie curent, cu participarea militarilor moldoveni, români și americani, având ca scop antrenarea în comun, precum și creșterea nivelului de interoperabilitate între contingentele participante. Antrenamentele au avut loc la centrele de instruire ale Armatei Naționale.  "
742684,in-lume," În cadrul unui interviu acordat agenţiei de presă BTA la Washington, cu ocazia reuniunilor de primăvară ale Băncii Mondiale şi Fondului Monetar Internaţional, Radev a explicat că această nouă dată este un scenariu mai realist în stadiul actual prin care trece economia zonei euro, transmite Noi.md cu referire la digi24.ro. Chiar dacă inflaţia în Bulgaria a scăzut pentru a opta lună consecutiv, scăderea ar trebui să fie mult mai importantă pentru a permite intrarea Bulgariei în zona euro, a spus Radev. În acest context, dacă Bulgaria nu reuşeşte să îndeplinească criteriul de inflaţie în luna iunie şi va face acest lucru la finele lui 2024, aderarea la zona euro la finele lui 2024, în loc de 1 ianuarie, este posibilă şi, la acest moment, acesta este cel mai probabil scenariu, potrivit guvernatorului BNB. În condiţiile în care în prezent în Bulgaria există un acord de tip Consiliu monetar, Banca Naţională are un număr mult mai limitat de opţiuni pentru a controla inflaţia, aşa că este sarcina politicii fiscale să influenţeze într-o măsură mai mare preţurile, a spus Radev. ""Bugetul ar trebui să fie unul anti-ciclic, cu alte cuvinte, anti-inflaţionist, ceea ce nu este cazul în acest moment. Experienţa globală, precum şi propria noastră experienţă, ne arată că acest lucru poate fi atins cel mai bine prin măsuri eficiente de management şi control al costurilor"", a apreciat guvernatorul Băncii Naţionale a Bulgariei. Referindu-se la pregătirile tehnice pentru aderarea Bulgariei la zona euro, Radev a spus că Banca Naţională şi sectorul bancar au ajuns la un stadiu foarte avansat de pregătire, cu rezultate concrete în termeni de cadru instituţional, capacităţi şi logistică. De asemenea, Radev a făcut comentarii cu privire la creşterea sectorului creditului ipotecar, spunând: ""monitorizăm cu atenţie şi analizăm piaţa creditului şi ceea ce vedem ne menţine în stare de atenţie, dar la acest moment nu suntem îngrijoraţi în mod deosebit"". Până acum, toate cele 20 de state din zona euro au făcut trecerea la moneda unică începând cu data de 1 ianuarie. "
742668,politica," Au prezentat scrisorile de acreditare doi ambasadori ai țărilor Uniunii Europene: Nikolaos Krikos, reprezentantul diplomatic al Republicii Elene și Aune Kotli, reprezentantul diplomatic al Republicii Estonia. În cadrul ceremoniei oficiale, șefa statului a mulțumit statelor UE pentru susținerea Moldovei în parcursul european și, în special, a salutat decizia Greciei de a deschide la Chișinău, în viitorul apropiat, o ambasadă. Tot astăzi, scrisori de acreditare au prezentat Carlos Alejandro Poffo, ambasadorul Republicii Argentina, cu reședința la București și Vinta Some, ambasadorul Burkina Faso, cu reședința la Ankara. "
742644,politica," Opinia aparține sociologului, Doru Petruți și a fost expusă în cadrul unui interviu online, notează Noi.md  Potrivit lui, frica de a pierde puterea, a împins-o pe actuala Guvernare să închidă anumite surse mass-media, pentru că o altă agendă din păcate nu există. ”Simplu, pentru că nu ai altă agendă, fiindcă nu ai capacitățile necesare pentru a crea o agendă, iar acest șoc l-am văzut cum l-a preluat puterea unul după altul după 2010, oricît de pregătiți nu au fost și orice capacități umane și financiare nu ar fi avut, în momentul în care au ajuns la putere au avut acest șoc pentru că mecanismele care trebuie să le coordonezi sînt destul de complexe”, a mai spus sociologul.   "
742664,societate," Potrivit SHS, în legătură cu mărirea în continuare a deversării apei din Lacul de acumulare Dubăsari (r. Nistru) pîna la 1000 m3/s, în intervalul 18-25 aprilie va continua creșterea nivelului apei pe sectorul or. Dubăsari-s. Răscăieți cu 2.20-4.20 m, față de nivelul din 18 aprilie (ora 8:00). Izolat în locurile joase este posibilă ieşirea apei în luncă  Amintim că un ciclon atlantic a adus pe 17 aprilie precipitații pe aproape întreg teritoriul țării, care sau intensificat în partea de nord, iar temperaturile au scăzut simțitor. "
