id,category,text
22329753,externe,"Secretarul Trezoreriei de stat a SUA, Janet Yellen, a declarat, în cadrul unui interviu pentru CNBC, că Washingtonul va putea lua măsuri restrictive împotriva Chinei dacă aceasta va susţine efortul   de război al Rusiei în invazia din Ucraina. ,,Tot ceea ce implică sprijinirea armatei ruse în războiul lor brutal împotriva Ucrainei este inacceptabil pentru noi şi avem capacitatea de a sancţiona   acest lucru"", a afirmat Yellen. Potrivit CNBC, Yellen a declarat că   Departamentul Trezoreriei nu a impus asemenea sancţiuni până în prezent, întrucât relaţia comercială dintre China şi Rusia este considerată de SUA ca fiind neproblematică în mare parte. Totuşi,   secretarul Trezoreriei americane a subliniat faptul că furnizarea de ajutor militar pentru Moscova, din partea Beijingului, ar putea să conducă la o serie de sancţiuni din partea Trezoreriei.  Declaraţiile au avut loc în contextul în care Washingtonul încearcă să stabilizeze relaţia diplomatică tensionată dintre cele două superputeri rămase în lume. Biden s-a întâlnit cu omologul chinez Xi Jinping în California în noiembrie anul trecut, într-un efort de a reclădi relaţiile şi de a restabili comunicarea la nivel înalt între cele două guverne. Săptămâna trecută, cei doi preşedinţi   au avut o convorbire telefonică,   în cadrul căreia Joe Biden şi-a exprimat îngrijorarea cu privire la ajutorul Chinei acordat Rusiei în reconstruirea industriei militare a Moscovei. "
22329745,politic,"Cătălin Cîrstoiu a vorbit, la Antena 3 CNN, despre alegeri, spunând că va exista un singur câştigător: „o să-l vedem pe 9 iunie. Dar eu nu mă iau în activitatea mea şi în ceea ce cred după sondaje.   Eu nu îmi schimb gândurile după sondaje. Mă uit la oameni şi le spun ce vreau eu să fac, care e proiectul meu. Am început să vorbesc despre el. Am înţeles că sunt un om destul de periculos, aşa că   am fost transformat...”. La afirmaţia jurnalistului că este incompatibil, Cătălin Cîrstoiu a răspuns: „Nu sunt incompatibil. Am fost transformat în două săptămâni de zile dintr-un om normal într-un inamic public numărul   unu, omul negru”.  Referitor la informaţia potrivit căreia Corpul de Control al Guvernului Orban a sesizat o altă instituţie a statului în legătură cu incompatibilitatea sa, Cătălin Cîrstoiu a răspuns: „Corpul de   Control al Guvernului Orban în momentul ăla a bătut câmpii cu graţie. Şi asta este evident pentru că, vă spun cinstit, noi am avut o discuţie atunci în momentul ăla şi jumăte din raport după prima   discuţie oficială de negociere între părţi a căzut, pentru că legile invocate în raport nu mai erau valabile, nu mai erau de actualitate”. În rest, „au rămas nişte constatări care probabil s-au dus la Agenţia Naţională de Integritate”. „Eu vă spun cu mâna pe inimă şi vreau să închidem subiectul ăsta. Deci, faptul că cineva încearcă să inducă faptul că eu aş fi încălcat nişte legi, că am făcut aia, că am făcut aia, că am o maşină,   că... (...) Haideţi să vedeţi o mizerie, că socrul meu e administrator la una dintre firme. Da, socrul meu e medic pediatru, iar una dintre societăţile comerciale care avea activităţi medicale a   fost o vreme îndelungată până a ieşit la pensie societatea în care şi-a desfăşurat activitatea în Mioveni. Asta e una din lucrurile care mi se par halucinante. Sau s-a dus la metrou şi şi-a   cumpărat bilet cu 200 de lei. Faceţi zoom pe imagine că era de 50”, a adăugat Cîrstoiu. "
22329472,politic,"„Vă spun ceva, vom câştiga alegerile. Vom scoate un scor dublu decât ne dădeau cei mai sceptici în urmă cu şase luni sau un an de zile, vorbesc de Partidul Naţional Liberal, şi veţi vedea acest   lucru. Doar că să aveţi încredere în dumneavoastră”, a declarat prim-vicepreşedintele PNL Rareş Bogdan. Referindu-se la primarul Sectorului 4, Rareş Bogdan a afirmat că este un sector care i-a dat bătăi de cap: „Singurul care m-a încurcat când prezentam şi în afara ţării şi în ţară şi în diaspora   aceste cifre ale succesului autentic în ceea ce priveşte banii europeni era distinsul domn de aici, Daniel Băluţă, care a adus aproape 1 miliard. Norocul meu că e aproape singular: Mi-a dat puţin   statistica peste cap”.  Prim-vicepreşedintele PNL s-a referit apoi la sectoarele Capitalei „administrate prost”: „La Sectorul 1 sau Sectorul 2 trebuie să smulgem aceste sectoare şi să le ducem în zona administraţiilor de   succes”. Totodată, Rareş Bogdan a menţionat siguranţa pe străzi seara şi noaptea în Bucureşti: „Astăzi în Londra, în cele mai sofisticate zone ale metropolei britanice, în Paris, în Roma, în Berlin, în   Madrid sau Bruxelles, şansele să circuli după ora 22.00 până la 2.00 noaptea, mai ales dacă eşti doamnă sau dacă eşti o persoană mai în vârstă sau dacă eşti o doamnă cu un copil fără să ai fiori   reci pe spate ba că-ţi dispare poşeta, ba poate să fie cineva ameninţat... acest lucru în România şi în Bucureşti nu se întâmplă, iar acest lucru spune foarte multe apropo de mandatele succesive   ale lui Marcel Vela, Lucian Bode, acum al lui Cătălin Predoiu vizavi de Ministerul de Interne. Nu e puţin lucru siguranţa fiecăruia dintre noi”. "
22329360,economic,"Constructorul grec Aktor, din cadrul grupului Intrakat de la finalul anului trecut, şi-a asumat accelerarea lucrărilor la lotul al treilea din autostrada A0 Bucureşti Sud, astfel încât în vara   acestui an să se poată circula în premieră pe autostradă de la Piteşti la Constanţa. „Deja putem vedea rezultatele tranzacţiei dintre Ellaktor şi Intrakt. În trecut nu am performat prea bine în România, dar acum vom rezolva şi acest aspect. Spre exemplu, la final de august, început   de septembrie, vom finaliza lucrările la lotul 3 din A0 între DN6 şi A1. Avem aici 650 de angajaţi şi vom creşte. Nu vrem să avem Aktor ca o ramură, vrem ca o companie. Să avem cât mai mulţi   angajaţi români aici. Avem aici 650 de angajaţi, peste 500 sunt români. Probleme cu forţa de muncă avem şi în Grecia. Dar dacă plăteşti, găseşti. Aici este problema. Trebuie să învăţăm să plătim   mai bine, dar este o problemă de cost“, a declarat într-un interviu acordat ZF Alexandros Exarchou, vicepreşedinte şi CEO al Intrakat S.A., grupul care deţine acum Aktor.  Potrivit datelor CNAIR publicate la începutul lunii aprilie, Aktor a ajuns la 63% grad de execuţie pe lotul al treilea din A0 Bucureşti Sud, cu un progres de trei puncte procentuale faţă de martie.   Pentru a recupera teren, ar fi necesar un progres de cel puţin şapte puncte procentuale lunar. Cu A0 gata pe zona de sud a Capitalei, se va putea circula practic pe 362 km de autostradă, de la Constanţa la Piteşti. Până atunci, cel mai lung tronson de autostradă din România este de 245 km,   de la Târgu-Mureş la Holdea. Miza lotului 3 din A0 Sud o reprezintă deblocarea actualei centuri, DNCB pe tronsonul dintre DN6 şi A1, unde cu excepţia pasajului de la Domneşti în continuare se circulă pe o bandă pe sens - motiv   pentru care nici pasajul nu a avut un impact mare asupra traficului, în condiţiile în care imediat după pasaj din trei benzi se formează una singură. Potrivit Asociaţiei ProInfrastructura accelerarea lucrărilor de către Aktor vin în condiţiile în care luna aceasta era termenul de finalizare, având până acum o întârziere de aproape 10 luni. De   partea cealaltă, în cazul turcilor care lucrează între A2 şi DN5, asociaţia se aşteaptă ca o inaugurare între DN5 şi DN4 - Giurgiu - Olteniţa - să poată avea loc în aprilie, iar între DN4 şi A2 în   iulie-august. Astfel, chiar şi în cel mai bun caz, inaugurările ar putea rata sezonul estival din 2024. "
22329172,economic,"Comisia Europeană a aprobat reintroducerea unei scheme de ajutor de stat a României de aproximativ 2,5 miliarde de euro (12,5 miliarde lei) pentru sprijinirea întreprinderilor în contextul   războiului Rusiei împotriva Ucrainei. Schema reintrodusă a fost aprobată în temeiul Cadrului temporar de criză şi de tranziţie pentru ajutoarele de stat adoptat de Comisie la 9 martie 2023 şi   modificat la 20 noiembrie 2023. Comisia a aprobat schema iniţială la 9 septembrie 2022, iar prima reintroducere a acesteia a fost aprobată la 26 ianuarie 2023 şi a expirat la 31 decembrie 2023. În temeiul schemei reintroduse,   ajutorul va fi sub formă de garanţii şi de granturi directe. Schema reintrodusă urmăreşte să asigure faptul că întreprinderile afectate de perturbările economice provocate de războiul de agresiune   al Rusiei împotriva Ucrainei au în continuare la dispoziţie o lichiditate suficientă.  Comisia a constatat că schema României, astfel cum este reintrodusă, îndeplineşte în continuare condiţiile stabilite în Cadrul temporar de criză şi de tranziţie. În special, ajutorul nu va depăşi   280.000 de euro per întreprindere care îşi desfăşoară activitatea în sectorul agricol, 335.000 de euro per întreprindere care îşi desfăşoară activitatea în sectoarele pescuitului şi acvaculturii şi   2,25 milioane de euro per întreprindere care îşi desfăşoară activitatea în toate celelalte sectoare. De asemenea, ajutorul va fi acordat până cel târziu la 30 iunie 2024. Comisia a concluzionat că   schema reintrodusă a României este în continuare necesară, adecvată şi proporţională pentru a remedia o perturbare gravă a economiei unui stat membru, în conformitate cu articolul 107 alineatul (3)   litera (b) din TFUE şi cu condiţiile stabilite în Cadrul temporar de criză şi de tranziţie. Pe baza acestor considerente, Comisia a aprobat schema în temeiul normelor UE privind ajutoarele de stat. "
22329170,social,"ISU Tulcea a transmis că mina marină a fost ridicată de echipa de scafandri pirotehnicieni ai MApN şi urmează să fie transportată pentru a fi depozitată în siguranţă. La ora transmiterii ştirii, zona este una sigură pentru traficul naval. Mina este de fabricaţie franceză şi provine din timpul Primului Război Mondial, potrivit ISU Tulcea. Obiectul a fost eşuat controlat la kilometrul 113, iar zona a fost monitorizată de către reprezentanţii Ministerului Afacerilor Interne, au transmis luni Forţele Navale Române, după identificarea   pe Braţul Chilia a unui obiect care seamănă cu o mină marină.   "
22329096,tehnologie,"Începând de anul trecut, un nou tip de dronă a devenit vedetă şi schimbă modul în care războiul se desfăşoară pe linia frontului. Se numesc drone First Person View şi au devenit un coşmar pentru   militarii de pe ambele părţi ale câmpului de luptă. Dacă o rachetă de croazieră sau balistică costă câteva milioane de dolari, iar o dronă kamikaze poate depăşi o sută de mii de dolari, dronele FPV, funcţie de mărime, sunt de ordinul sutelor şi   miilor de doalri. Pot fi folosite în număr mare, de exemplu Ucraina şi-a propus să doteze armata cu un milion de astfel de echipamente în anul 2024.  O dronă FPV poate fi folosită pentru mai multe misiuni: culegerea informaţiilor din câmpul tactic, lansarea de muniţii sau transformarea ei într-o dronă sinucigaşă. De regulă, militarii operatori de drone vânează blindatele şi sistemele de armament inamice, dar sunt destule clipuri pe reţelele de socializare în care ţinta este un singur militar inamic. Astfel,   dronele FPV par să ia locul inclusiv al armelor de asalt şi cresc considerabil distanţa de angajare a focului. Armatele moderne nu au dezvoltat încă strategii pentru folosirea dronelor FPV, dar toţi specialiştii consideră că acestea vor avea un loc important în viitoarele conflicte. Mai nou, armata Chinei a   constituit o unitate specială unde militarii testează dronele FPV pentru a putea vedea modul de folosire şi îmbunătăţire a procedurilor de luptă cu aceste echipamente ieftine. Dezvoltarea domeniului dronelor, duce automat la creşterea rolului războiului electronic şi au apărut deja sisteme portabile de bruiere a dronelor, pe lângă cele dispuse pe autovehicule. În viitor, grupa de infanterie ar putea avea un operator de drone şi un specialst în război electronic, pe lângă puşcaşi, lunetist, trăgătorul la puşca mitralieră şi cel la aruncătorul de grenade   antitanc. "
22329136,externe,"Yellen a declarat că preşedintele american, Joe Biden, nu va permite repetarea ""şocului chinezesc"" de la începutul anilor 2000, când un val de importuri chinezeşti a distrus două milioane de locuri   de muncă în industria americană, scrie Reuters. Cu toate acestea, ea nu a ameninţat cu noi tarife vamale sau alte acţiuni comerciale în cazul în care Beijingul ar continua să acorde sprijin masiv din partea statului pentru vehicule electrice,   baterii, panouri solare şi alte bunuri energetice verzi.  Yellen s-a folosit de a doua sa călătorie în China în nouă luni pentru a se plânge că investiţiile excesive ale Beijingului au creat o capacitate a fabricilor care depăşeşte cu mult cererea   internă, în timp ce exporturile în creştere rapidă ale acestor produse ameninţă companiile din SUA şi din alte ţări. Yellen a făcut o paralelă cu problemele resimţite în trecut în sectorul siderurgic. ""Am mai văzut această poveste înainte"", a declarat ea. ""Cu peste un deceniu în urmă, sprijinul masiv din partea guvernului de la Beijing a dus la un oţel chinezesc la preţuri inferioare costurilor   care a inundat piaţa globală şi a decimat industriile din întreaga lume"", a adăugat Yellen. ""Am spus clar că eu şi preşedintele Biden nu vom mai accepta această situaţie."" Atunci când piaţa globală este inundată de produse chinezeşti ieftine în mod artificial, ""viabilitatea firmelor   americane şi a altor firme străine este pusă sub semnul întrebării"", a conchis Yellen.  "
22329133,externe,"Afirmaţia a fost făcută sâmbătă, la Bucureşti, în cadrul evenimentului care i-a reunit pe liderii Partidului Socialiştilor Europeni. În timpul discursului, cancelarul german a evidenţiat care ar fi   consecinţele dacă partidele de extremă dreapta ar câştiga din ce în ce mai mult teren pe scena politică, notează Euractiv.  ,,Populiştii de dreapta fac campanie împotriva Europei noastre unite şi a valorilor sale"", a declarat Scholz sâmbătă, la Bucureşti. ,,Ei sunt gata să distrugă ceea ce am construit de-a lungul deceniilor"", a afirmat cancelarul, adăugând că partidele populiste de dreapta ,,ameninţă prosperitatea noastră construită pe piaţa   noastră europeană comună."" În cadrul discursului său la Bucureşti, Olaf Scholz a punctat faptul că social-democraţii europeni ar fi cei care apără tot ceea ce s-a realizat pe continentul european în ultimii ani, potrivit   Euractiv. Situaţia partidelor politice la nivel european, pentru alegerile din luna iunie, arată că partidele social-democrate se află pe locul al doilea în sondaje, în timp ce partidele de extremă dreapta   şi conservatoare înregistrează o creştere semnificativă în sondaje. În Germania, partidul cancelarului se află după partidul de centru-dreapta CDU şi a partidului de extremă-dreapta AfD, care sunt pe locul al treilea. În luna februarie, Berlinul a anunţat că a   adoptat o serie de măsuri împotriva combaterii extremismului de   dreapta care cunoaşte o ascensiune în ultima perioadă, după ce mai mulţi germani au ieşit în stradă să protesteze împotriva extremismului. În România, extrema dreaptă a început să fie din ce în ce mai preferată de către tineri în mediul online, potrivit unui studiu realizat de IRES, la comanda organizaţiei ,,Tinerii Votează”. "
22328934,politic,"Redăm mai jos interviul integral: MAS: Politica Germaniei faţă de Ucraina a fost, după cum spun unii, puţin confuză, mai ales că Olaf Scholz, cancelarul german, încă refuză să trimită rachete cu rază lungă de acţiune   Kievului, deşi spune că nu vrea ca Rusia să câştige acest război. Este vreo strategie în spatele a ceea ce se vede ca o „confuzie”? De ce credeţi că Scholz refuză să trimită rachete de croazieră   (Taurus) Ucrainei? Este pentru că îi este frică de un posibil răspuns al Moscovei?  Dmitri Stratievski: În politica germană faţă de Rusia şi în politică germană în general, există mai multe limite care restricţionează acţiunea politică. Unele dintre acestea au   fost întrecute după februarie 2022, altele încă sunt menţinute. În prezent, avem de-a face cu trei tabuu-uri. Primul este că armata germană (sau specialiştii civili care reprezintă armata) nu   trebuie trimisă în zone de criză.  Scholz şi echipa lui sunt îngrijoraţi că germanii ar trebui să fie trimişi în Ucraina pentru a controla şi operaţionaliza rachetele Taurus, în cele din urmă.   Al doilea este că Germania este obligată să prevină extinderea războiului. Astfel de principii se află la baza diplomaţiei germane şi sunt ancorate în conceptele de politică externă ale guvernului.   Berlinul se teme că va fi implicat în război, de această dată ca parte beligerantă. Al treilea este că orice conflict militar direct între Germania şi Rusia este inimaginabil pentru multe părţi ale   societăţii germane, mai ales din cauza responsabilităţii istorice pentru crimele naziste. Toate aceste trei „obstacole” se găsesc şi în partidul SPD al lui Scholz, precum şi în celelalte partide de   guvernare, FDP şi Partidul Verzilor. Politica germană este, astfel, caracterizată de doi factori când vorbim despre Taurus: propriile temeri şi presiunea politică internă. MAS: Cu toate acestea, însă, Germania continuă să susţină Ucraina în achiziţia de muniţie, de exemplu, fiind unul dintre cei mai mari donatori ai iniţiativei conduse de Cehia. Care este   percepţia publică germană privind ajutorul Germaniei faţă de Ucraina? Cum aţi defini abordarea generală a Germaniei faţă de războiul din Ucraina? Dmitri Stratievski: Din punctul meu de vedere, Germania face multe lucruri pentru a ajuta Ucraina, fie din punct de vedere militar, financiar, umanitar, fie din punctul de vedere   al asistenţei logistice. Între februarie 2022 şi februarie 2024, Germania a oferit ajutor de peste 32 de miliarde de euro. Pe lângă asta, mai avem şi participarea Germaniei la pachete de ajutor din   partea UE şi a altor organizaţii internaţionale, precum şi acorduri individuale, ca oferta cehilor. Faptul că peste 1 milion de refugiaţi ucraineni au fost primiţi în Germania trebuie, de asemenea,   să fie menţionat.  Opinia publică în Germania este ambivalentă cu privire la ajutorul pentru Ucraina; marea majoritate a populaţiei crede că sprijinul umanitar este ceea ce trebuie făcut. În   ceea ce priveşte armele, însă, sprijinul s-a micşorat, în ultima vreme. Cu toate acestea, sondajele oferă rezultate diferite, care sunt dependente de anumite situaţii.  Obstacolele sunt   extinderea războiului şi implicarea Germaniei (n.r. în război). Dacă experţii şi politicienii pot demonstra că livrarea oricăror tipuri de arme Ucrainei nu atrage şi implicarea Germaniei în   luptă, aşa cum s-a întâmplat cu tancurile Leopard, de exemplu, atunci susţinerea pentru această decizie (n.r. de trimitere a armelor) va creşte. Comunicarea între politicieni şi populaţie   are o importanţă esenţială în acest caz. MAS:  Cum aţi defini relaţia Germaniei cu Rusia şi, mai precis, cum văd  şi cum abordează liderii germani Rusia şi pe liderul rus, Vladimir Putin? Dmitri Stratievski: Atacul rusesc asupra întregului teritoriu ucrainean a fost ca un duş rece pentru Berlin. Chiar şi după anexarea Crimeei, în 2014, existau mulţi oameni în   conducerea Germaniei care susţineau continuarea strategiei de reconciliere prin acţiune. Germania şi Rusia au (în ciuda sancţiunilor deja în vigoare) cifre de afaceri economice de miliarde de   dolari, peste 100 de parteneriate, programe foarte scumpe în domenii precum schimbul de experienţe al tinerilor, cultură, artă etc.  Deşi Putin a fost considerat un individ rău, a fost cel   puţin văzut ca fiind previzibil.  Dintr-o dată, acest concept nu a mai fost valabil. Ultimele urme ale acestuia au putut fi văzute când Scholz a încercat să vorbească cu Putin despre o soluţie   de pace. Acum, factorii de decizie germani nu mai au nicio iluzie. Putin este privit ca o ameninţare, nu doar pentru Ucraina, ci şi pentru securitatea Europeană. MAS: Care credeţi că este scopul final al lui Putin când vine vorba despre războiul din Ucraina? Poate Rusia să fie oprită sau singura opţiune pentru încetarea războiului este o retragere   voluntară a ruşilor? Dmitri Stratievski: Acest război va continua atât timp cât Putin va fi la putere în Rusia, poate chiar atât timp cât va trăi. El şi-a pus supravieţuirea politică şi fizică în joc   şi sunt slabe şansele ca el să facă asta retroactiv. Teritoriile anexate au fost declarate (pe hârtie) ca făcând „parte din Rusia”.  Nu prea există spaţiu de manevră pentru regim în acest caz.   Când vine vorba despre politica internă, este extrem de periculos pentru Putin să retragă trupele din Ucraina, pentru că asta ar duce la o tensiune internă imensă. Majoritatea militarilor   ruşi dislocaţi în prezent în Ucraina sunt foşti civili din regiunile sărace ale Rusiei. În timpul războiului, ei au câştigat de opt ori mai mult decât media din ţara de origine, uneori chiar mai   mult pentru că statisticile ruseşti cu privire la venitul mediu sunt superficiale. Ei au experienţă de luptă, pot manevra arme, au omorât oameni şi, astfel, nu se pot întoarce la vieţile lor   anterioare pline de sărăcie şi lipsă de perspectivă. Aceste aspecte reprezintă multe pericole pentru stabilitatea regimului. De aceea, acest război va continua. Singura şansă de   pace este ca Occidentul să ia măsuri decisive pentru a elimina abilitatea Rusiei de a continua războiul, de exemplu, prin combinarea extinderii ajutorului pentru Ucraina sau chiar o strategie de   „împrumut şi închiriere”, aşa cum s-a întâmplat în cel de-Al Doilea Război Mondial, alături de o politică de sancţiuni mai dură. În ceea ce priveşte Moscova, nu cred că are un plan   detaliat, ferm. „Programul minim” ar fi cucerirea completă a tuturor teritoriilor anexate din sudul şi estul Ucrainei şi prevenirea unor atacuri ucrainene asupra Crimeei. Dacă va avea succes,   intenţiile lui Putin ar fi şi mai ambiţioase, inclusiv luarea cu asalt a Harkovului şi avansarea spre Odesa. Întreaga strategie rusească este construită pe fricile occidentale. Putin face exact   ceea ce poate unde Occidentul eşuează şi creează noi oportunităţi pentru Putin. MAS: Sunt Rusia şi Putin acelaşi lucru? Putem să ne gândim la Rusia fără Putin? Dmitri Stratievski: Nu există o cercetare independentă în Rusia, doar câteva organizaţii care încearcă să strângă informaţii plauzibile, însă acestea sunt împiedicate în   activităţile lor. Prin urmare, nu ştim care este proporţia ruşilor care susţin politicile lui Putin. Cu toate acestea, potrivit unor informaţii indirecte, putem să spunem că majoritatea populaţiei   cel puţin tolerează ceea ce se întâmplă acum. Dmitri Stratievski: A doua întrebare adresată conţine, de fapt, două întrebări: 1. Ce vine după Putin? Este foarte posibil ca sistemul lui Putin să trăiască dincolo de numele lui, pentru că   este stabil şi are mulţi beneficiari în rândul populaţiei ruseşti. 2 . Este democraţia posibilă în Rusia? Teoretic, da. Nu cred că ruşii sunt „incapabili de democraţie”. O astfel de   afirmaţie ar fi rasistă. Rusia a avut o astfel de oportunitate (şi a ratat-o) când, de exemplu, un politician democrat precum Nemţov ar fi putut să devină noul şef de stat, după demisia lui Elţîn.   În general, nu aş exclude posibilitatea unei tranziţii către democraţie, poate prin intermediul unei „opriri”, sub forma unui autoritarism soft. Cu toate acestea, acest lucru nu se va întâmpla   mâine sau poimâine. În următorii ani, poate în următoarele decenii, vom avea de-a face cu o Rusia agresivă pe scena globală. *** Dmitri Stratievski este un istoric şi expert politic german, fost consultant al Budenstag-ului privind politicile faţă de Rusia şi Ucraina.  Este directorul Centrului Berlin pentru   Studii Est-Europene. A scris cărţi precum  „Prizonierii de război sovietici în Germania şi întoarcerea lor în URSS (Sowjetische Kriegsgefangene in Deutschland und ihre Rückkehr in die UdSSR)   şi „Militarii sovietici în captivitate germană. Destinele oamenilor în mărturii personale” (Sowjetische Soldaten in deutscher Kriegsgefangenschaft Menschenschicksale in Selbstzeugnissen).  "
